strike,ce,pe,avg,bl,uce133,uce15,upe133,upe15,lce15,lce2,lpe15,lpe2
23650.0,577.05,10.5,293.775,,767.4765,865.5749999999999,13.965,15.75,384.7,192.35,7.0,3.5
23700.0,534.6,13.0,273.8,,711.018,801.9000000000001,17.29,19.5,356.40000000000003,178.20000000000002,8.666666666666666,4.333333333333333
23750.0,491.15,16.15,253.64999999999998,204.05,653.2295,736.7249999999999,21.479499999999998,24.224999999999998,327.43333333333334,163.71666666666667,10.766666666666666,5.383333333333333
23800.0,444.15,20.5,232.325,185.0,590.7195,666.2249999999999,27.265,30.75,296.09999999999997,148.04999999999998,13.666666666666666,6.833333333333333
23850.0,397.6,25.75,211.675,167.575,528.8080000000001,596.4000000000001,34.2475,38.625,265.06666666666666,132.53333333333333,17.166666666666668,8.583333333333334
23900.0,357.0,32.6,194.8,149.025,474.81,535.5,43.358000000000004,48.900000000000006,238.0,119.0,21.733333333333334,10.866666666666667
23950.0,319.0,40.9,179.95,132.9,424.27000000000004,478.5,54.397,61.349999999999994,212.66666666666666,106.33333333333333,27.266666666666666,13.633333333333333
24000.0,277.55,51.9,164.725,119.02499999999999,369.1415,416.32500000000005,69.027,77.85,185.03333333333333,92.51666666666667,34.6,17.3
24050.0,240.05,64.35,152.2,106.95,319.2665,360.07500000000005,85.5855,96.52499999999999,160.03333333333333,80.01666666666667,42.9,21.45
24100.0,205.45,79.7,142.575,98.275,273.2485,308.17499999999995,106.001,119.55000000000001,136.96666666666667,68.48333333333333,53.13333333333333,26.566666666666666
24150.0,173.0,97.45,135.225,91.3,230.09,259.5,129.60850000000002,146.175,115.33333333333333,57.666666666666664,64.96666666666667,32.483333333333334
24200.0,144.65,117.9,131.275,87.65,192.38450000000003,216.97500000000002,156.80700000000002,176.85000000000002,96.43333333333334,48.21666666666667,78.60000000000001,39.300000000000004
24250.0,118.25,142.0,130.125,86.85,157.2725,177.375,188.86,213.0,78.83333333333333,39.416666666666664,94.66666666666667,47.333333333333336
24300.0,95.6,169.45,132.52499999999998,88.525,127.148,143.39999999999998,225.36849999999998,254.17499999999998,63.73333333333333,31.866666666666664,112.96666666666665,56.48333333333333
24350.0,76.25,198.25,137.25,93.8,101.41250000000001,114.375,263.6725,297.375,50.833333333333336,25.416666666666668,132.16666666666666,66.08333333333333
24400.0,59.15,232.45,145.79999999999998,102.5,78.6695,88.725,309.1585,348.67499999999995,39.43333333333333,19.716666666666665,154.96666666666667,77.48333333333333
24450.0,45.6,270.45,158.025,112.6,60.648,68.4,359.6985,405.67499999999995,30.400000000000002,15.200000000000001,180.29999999999998,90.14999999999999
24500.0,35.55,307.25,171.4,126.52499999999999,47.2815,53.324999999999996,408.64250000000004,460.875,23.7,11.85,204.83333333333334,102.41666666666667
24550.0,26.95,351.95,189.45,143.125,35.8435,40.425,468.0935,527.925,17.966666666666665,8.983333333333333,234.63333333333333,117.31666666666666
24600.0,20.6,392.0,206.3,153.625,27.398000000000003,30.900000000000002,521.36,588.0,13.733333333333334,6.866666666666667,261.3333333333333,130.66666666666666
24650.0,15.8,440.25,228.025,175.975,21.014000000000003,23.700000000000003,585.5325,660.375,10.533333333333333,5.266666666666667,293.5,146.75
